technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
similarity_based,mean_minus_16pct,mean_minus_15pct,0.6241125025882275,13400,2080,0,20,0.864516129032258,0.8656330749354005,0.9985096870342772,0.9273356401384084
similarity_based,mean_minus_16pct,mean_minus_16pct,0.6241125025882275,13585,1895,0,20,0.8764516129032258,0.8775839793281653,0.9985299522234473,0.9341585009455045
mlaas_based,mean,mean,0.6621779019461136,1596,3904,3066,6934,0.3007741935483871,0.2901818181818182,0.18710433763188747,0.22751247327156093
mlaas_based,mean,mean_minus_5pct,0.6621779019461136,2259,3241,1669,8331,0.2534193548387097,0.4107272727272727,0.213314447592068,0.2807955251709136
mlaas_based,mean,mean_minus_10pct,0.6621779019461136,2978,2522,738,9262,0.23974193548387096,0.5414545454545454,0.24330065359477124,0.335738444193912
mlaas_based,mean,mean_minus_15pct,0.6621779019461136,3694,1806,274,9726,0.256,0.6716363636363636,0.2752608047690015,0.39048625792811836
mlaas_based,mean,mean_minus_16pct,0.6621779019461136,3815,1685,210,9790,0.25967741935483873,0.6936363636363636,0.28041161337743475,0.3993718921748233
mlaas_based,mean_minus_5pct,mean,0.6621779019461136,6434,6406,564,2096,0.45148387096774195,0.5010903426791278,0.7542790152403283,0.6021525503041647
mlaas_based,mean_minus_5pct,mean_minus_5pct,0.6621779019461136,8207,4633,277,2383,0.5473548387096774,0.6391744548286604,0.7749763928234183,0.700554844216816
mlaas_based,mean_minus_5pct,mean_minus_10pct,0.6621779019461136,9683,3157,103,2557,0.6313548387096775,0.7541277258566979,0.79109477124183,0.7721690590111642
mlaas_based,mean_minus_5pct,mean_minus_15pct,0.6621779019461136,10786,2054,26,2634,0.6975483870967742,0.8400311526479751,0.803725782414307,0.8214775323686215
mlaas_based,mean_minus_5pct,mean_minus_16pct,0.6621779019461136,10967,1873,22,2638,0.7089677419354838,0.8541277258566978,0.8061006982726938,0.8294195500094536
mlaas_based,mean_minus_10pct,mean,0.6621779019461136,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_10pct,mean_minus_5pct,0.6621779019461136,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_10pct,mean_minus_10pct,0.6621779019461136,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_10pct,mean_minus_15pct,0.6621779019461136,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_10pct,mean_minus_16pct,0.6621779019461136,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
mlaas_based,mean_minus_15pct,mean,0.6621779019461136,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_15pct,mean_minus_5pct,0.6621779019461136,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_15pct,mean_minus_10pct,0.6621779019461136,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_15pct,mean_minus_15pct,0.6621779019461136,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_15pct,mean_minus_16pct,0.6621779019461136,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
mlaas_based,mean_minus_16pct,mean,0.6621779019461136,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_16pct,mean_minus_5pct,0.6621779019461136,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_16pct,mean_minus_10pct,0.6621779019461136,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_16pct,mean_minus_15pct,0.6621779019461136,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_16pct,mean_minus_16pct,0.6621779019461136,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
CATTM,mean,mean,0.5591359603773823,5536,2844,4126,2994,0.6233548387096775,0.6606205250596658,0.6490035169988276,0.6547604967474866
CATTM,mean,mean_minus_5pct,0.5591359603773823,6628,1752,3158,3962,0.6313548387096775,0.7909307875894988,0.6258734655335222,0.6987875593041645
CATTM,mean,mean_minus_10pct,0.5591359603773823,7404,976,2284,4836,0.6250322580645161,0.8835322195704057,0.6049019607843137,0.7181377303588748
CATTM,mean,mean_minus_15pct,0.5591359603773823,7848,532,1548,5572,0.6061935483870968,0.9365155131264916,0.5847988077496274,0.72
CATTM,mean,mean_minus_16pct,0.5591359603773823,7910,470,1425,5695,0.6022580645161291,0.9439140811455847,0.5814038956266079,0.7195815328633158
CATTM,mean_minus_5pct,mean,0.5591359603773823,6286,3174,3796,2244,0.6504516129032258,0.6644820295983087,0.7369284876905041,0.6988326848249027
CATTM,mean_minus_5pct,mean_minus_5pct,0.5591359603773823,7538,1922,2988,3052,0.6790967741935484,0.7968287526427061,0.7118035882908404,0.7519201995012469
CATTM,mean_minus_5pct,mean_minus_10pct,0.5591359603773823,8425,1035,2225,3815,0.6870967741935484,0.8905919661733616,0.6883169934640523,0.7764976958525347
CATTM,mean_minus_5pct,mean_minus_15pct,0.5591359603773823,8909,551,1529,4511,0.6734193548387096,0.9417547568710359,0.6638599105812221,0.7787587412587413
CATTM,mean_minus_5pct,mean_minus_16pct,0.5591359603773823,8976,484,1411,4629,0.6701290322580645,0.9488372093023256,0.6597574421168688,0.7783221331021027
CATTM,mean_minus_10pct,mean,0.5591359603773823,7151,3729,3241,1379,0.6704516129032259,0.6572610294117647,0.8383352872215709,0.7368366821226172
CATTM,mean_minus_10pct,mean_minus_5pct,0.5591359603773823,8634,2246,2664,1956,0.7289032258064516,0.7935661764705882,0.8152974504249292,0.8042850489054495
CATTM,mean_minus_10pct,mean_minus_10pct,0.5591359603773823,9675,1205,2055,2565,0.756774193548387,0.8892463235294118,0.7904411764705882,0.8369377162629759
CATTM,mean_minus_10pct,mean_minus_15pct,0.5591359603773823,10259,621,1459,3161,0.756,0.942922794117647,0.7644560357675112,0.8443621399176955
CATTM,mean_minus_10pct,mean_minus_16pct,0.5591359603773823,10339,541,1354,3266,0.7543870967741936,0.9502757352941177,0.7599411980889379,0.844517051255871
CATTM,mean_minus_15pct,mean,0.5591359603773823,8063,4577,2393,467,0.6745806451612903,0.6378955696202532,0.9452520515826495,0.7617383089277279
CATTM,mean_minus_15pct,mean_minus_5pct,0.5591359603773823,9869,2771,2139,721,0.7747096774193548,0.7807753164556962,0.9319169027384325,0.8496771416272062
CATTM,mean_minus_15pct,mean_minus_10pct,0.5591359603773823,11162,1478,1782,1078,0.8350967741935484,0.8830696202531646,0.9119281045751634,0.8972668810289389
CATTM,mean_minus_15pct,mean_minus_15pct,0.5591359603773823,11919,721,1359,1501,0.8566451612903225,0.9429588607594936,0.8881520119225037,0.914735226400614
CATTM,mean_minus_15pct,mean_minus_16pct,0.5591359603773823,12019,621,1274,1586,0.8576129032258064,0.950870253164557,0.8834252113193679,0.9159077919603734
CATTM,mean_minus_16pct,mean,0.5591359603773823,8171,4729,2241,359,0.671741935483871,0.6334108527131783,0.9579132473622509,0.7625758282781148
CATTM,mean_minus_16pct,mean_minus_5pct,0.5591359603773823,10026,2874,2036,564,0.7781935483870968,0.7772093023255814,0.9467422096317281,0.853639846743295
CATTM,mean_minus_16pct,mean_minus_10pct,0.5591359603773823,11365,1535,1725,875,0.844516129032258,0.8810077519379845,0.9285130718954249,0.9041368337311059
CATTM,mean_minus_16pct,mean_minus_15pct,0.5591359603773823,12150,750,1330,1270,0.8696774193548387,0.9418604651162791,0.9053651266766021,0.9232522796352584
CATTM,mean_minus_16pct,mean_minus_16pct,0.5591359603773823,12259,641,1254,1346,0.8718064516129033,0.9503100775193798,0.9010657846380007,0.9250330126391246
