method,ratio_label,clean_ratio,corruption_ratio,composition_name,corruption_category,healthy_accuracy,degraded_accuracy,after_adaptation_accuracy,recovery_ratio
mlaas,20clean_80corrupt,0.2,0.8,C2_C4_C5,translate,0.9896,0.54,0.59,0.11120996441281124
mlaas,20clean_80corrupt,0.2,0.8,C2_C5,translate,0.9882,0.53,0.61,0.17459624618070704
mlaas,20clean_80corrupt,0.2,0.8,C3,translate,0.9872,0.53,0.94,0.8967629046369203
mlaas,20clean_80corrupt,0.2,0.8,C3_C4,translate,0.9871,0.52,0.6,0.17126953543138507
mlaas,20clean_80corrupt,0.2,0.8,C3_C4_C5,translate,0.9897,0.53,0.58,0.10876658690450279
mlaas,20clean_80corrupt,0.2,0.8,C3_C5,translate,0.9886,0.52,0.63,0.23474178403755866
mlaas,20clean_80corrupt,0.2,0.8,C4,translate,0.9779,0.49,0.95,0.942816150850584
mlaas,20clean_80corrupt,0.2,0.8,C4_C5,translate,0.989,0.51,0.61,0.20876826722338201
mlaas,20clean_80corrupt,0.2,0.8,C5,translate,0.9868,0.53,0.95,0.9194395796847634
mlaas,20clean_80corrupt,0.2,0.8,C1_C2_C4_C5,translate,0.9906,0.56,0.62,0.13934045517882013
tta,20clean_80corrupt,0.2,0.8,C1,translate,0.9863,0.62,0.84,0.6006006006006006
tta,20clean_80corrupt,0.2,0.8,C1_C2,translate,0.9878,0.59,0.62,0.0754147812971343
tta,20clean_80corrupt,0.2,0.8,C1_C2_C3,translate,0.9896,0.57,0.58,0.02383222116301241
tta,20clean_80corrupt,0.2,0.8,C1_C2_C4,translate,0.9905,0.59,0.59,0.0
tta,20clean_80corrupt,0.2,0.8,C1_C2_C5,translate,0.9899,0.58,0.57,0.0
tta,20clean_80corrupt,0.2,0.8,C1_C3,translate,0.9887,0.55,0.53,0.0
tta,20clean_80corrupt,0.2,0.8,C1_C3_C4,translate,0.9897,0.54,0.58,0.08894818768067585
tta,20clean_80corrupt,0.2,0.8,C1_C3_C5,translate,0.9906,0.56,0.55,0.0
tta,20clean_80corrupt,0.2,0.8,C1_C4,translate,0.9892,0.58,0.62,0.09775171065493654
tta,20clean_80corrupt,0.2,0.8,C1_C4_C5,translate,0.99,0.55,0.57,0.04545454545454525
tta,20clean_80corrupt,0.2,0.8,C1_C5,translate,0.9897,0.57,0.53,0.0
tta,20clean_80corrupt,0.2,0.8,C2,translate,0.9843,0.59,0.77,0.4565051990869897
tta,20clean_80corrupt,0.2,0.8,C2_C3,translate,0.9883,0.56,0.53,0.0
tta,20clean_80corrupt,0.2,0.8,C2_C3_C4,translate,0.9893,0.55,0.57,0.04552697473252882
tta,20clean_80corrupt,0.2,0.8,C2_C3_C5,translate,0.9889,0.56,0.55,0.0
tta,20clean_80corrupt,0.2,0.8,C2_C4,translate,0.9888,0.55,0.59,0.09115770282588863
tta,20clean_80corrupt,0.2,0.8,C2_C4_C5,translate,0.9896,0.54,0.56,0.04448398576512459
tta,20clean_80corrupt,0.2,0.8,C2_C5,translate,0.9882,0.53,0.53,0.0
tta,20clean_80corrupt,0.2,0.8,C3,translate,0.9872,0.53,0.71,0.3937007874015747
tta,20clean_80corrupt,0.2,0.8,C3_C4,translate,0.9871,0.52,0.53,0.021408691928923165
tta,20clean_80corrupt,0.2,0.8,C3_C4_C5,translate,0.9897,0.53,0.55,0.043506634761801215
tta,20clean_80corrupt,0.2,0.8,C3_C5,translate,0.9886,0.52,0.53,0.021340162185232627
tta,20clean_80corrupt,0.2,0.8,C4,translate,0.9779,0.49,0.76,0.5533920885427343
tta,20clean_80corrupt,0.2,0.8,C4_C5,translate,0.989,0.51,0.53,0.04175365344467645
tta,20clean_80corrupt,0.2,0.8,C5,translate,0.9868,0.53,0.72,0.4159369527145358
tta,20clean_80corrupt,0.2,0.8,C1_C2_C4_C5,translate,0.9906,0.56,0.58,0.04644681839293987
