adapted_case,adapted_client,corruption,chunk_id,chunk_start,chunk_end,chunk_size,composition_name,performing_clients,performing_size,raw_wdm,raw_ucs,raw_bnuas,raw_bndas,raw_pdam,wasserstein_distance,aligned_wdm,aligned_ucs,aligned_bnuas,aligned_bndas,aligned_pdam,scaled_wdm,scaled_ucs,scaled_bnuas,scaled_bndas,scaled_pdam,ttaas,composition_accuracy_on_chunk,aggregated_accuracy_on_chunk,ground_truth_composable,predicted_at_0_35,correct_at_0_35,predicted_at_0_4,correct_at_0_4,predicted_at_0_5,correct_at_0_5,predicted_at_0_6,correct_at_0_6,rule_score,inference_score,semantic_score,similarity_score,mlaas_score,prediction_distribution_similarity,weight_cosine_similarity
client_1_zigzag_tta_memo,client_1,zigzag,3,1500,2000,500,C4,client_3,1,0.052210211753845215,1.1023549623787403,3.9972593784332275,0.47260841727256775,0.0,0.16107797622680664,0.9477897882461548,1.1023549623787403,3.9972593784332275,0.47260841727256775,0.0,0.1156158763361183,0.7844156840067222,0.2904028307863467,0.6647519777184887,0.0,0.3710372737695352,0.8339999914169312,0.8659999966621399,True,True,True,False,False,False,False,False,False,0.7333333333333334,0.4,0.9076200000000001,0.9491628065898549,0.8551128459485413,0.8881,0.9477820561411364
client_1_zigzag_tta_memo,client_1,zigzag,3,1500,2000,500,C4_C5,"client_3,client_4",2,0.037592291831970215,0.3962519409833476,3.997903287410736,0.4612830579280853,0.0,0.19937483966350555,0.9624077081680298,0.3962519409833476,3.997903287410736,0.4612830579280853,0.0,0.36320208044774854,0.6746452293973638,0.4573296042770833,0.6461591317193368,0.0,0.4282672091683065,0.8500000238418579,0.8619999885559082,True,True,True,True,True,False,False,False,False,0.9249999999999999,0.8,0.9092600000000001,0.909026430585293,0.808897949404521,0.8963,0.962399385841939
client_1_zigzag_tta_memo,client_1,zigzag,3,1500,2000,500,C5,client_4,1,0.04990029335021973,-2.643789186142385,3.996798813343048,0.37904787063598633,0.0,0.20598745346069336,0.9500997066497803,-2.643789186142385,3.996798813343048,0.37904787063598633,0.0,0.15473935850168996,0.20204181821768805,0.17100607259298176,0.5111535988681152,0.0,0.20778816963609498,0.7860000133514404,0.8240000009536743,True,False,False,False,False,False,False,False,False,0.9249999999999999,0.8,0.9099800000000001,0.9583783694066987,0.8934610300972918,0.8999,0.950092622497552
client_1_zigzag_tta_memo,client_1,zigzag,4,2000,2500,500,C1,client_0,1,0.04987424612045288,-2.870595119893551,3.9984541535377502,0.4377219080924988,0.0,0.21889841556549072,0.9501257538795471,-2.870595119893551,3.9984541535377502,0.4377219080924988,0.0,0.15518052487693781,0.16678267089558033,0.6001359766367415,0.6074787846211738,0.0,0.30591559140608665,0.8159999847412109,0.8399999737739563,True,False,False,False,False,False,False,False,False,0.9249999999999999,0.6,0.9095800000000002,0.9559630103781144,0.8868053541680105,0.8979,0.9501184226617791
client_1_zigzag_tta_memo,client_1,zigzag,4,2000,2500,500,C1_C2,"client_0,client_1",2,0.016058266162872314,-3.1246795098413713,3.9995033144950867,0.5706355571746826,0.0,0.14113105833530426,0.9839417338371277,-3.1246795098413713,3.9995033144950867,0.5706355571746826,0.0,0.7279275477610554,0.1272828271778804,0.8721201539008298,0.8256831641382195,0.0,0.510602738595597,0.8220000267028809,0.8399999737739563,True,True,True,True,True,True,True,False,False,0.9249999999999999,0.8,0.98004,0.91299428461964,0.8069053350135412,0.9002,0.9839335927334284
client_1_zigzag_tta_memo,client_1,zigzag,4,2000,2500,500,C1_C2_C3,"client_0,client_1,client_2",3,0.022548913955688477,-2.429383670911193,3.998898446559906,0.5633667707443237,0.0,0.14487344026565552,0.9774510860443115,-2.429383670911193,3.998898446559906,0.5633667707443237,0.0,0.6179943385331067,0.23537320211570806,0.715314368713012,0.8137499951685099,0.0,0.4764863809060674,0.8360000252723694,0.8500000238418579,True,True,True,True,True,False,False,False,False,0.9249999999999999,0.6,0.9794800000000001,0.8834963006492249,0.789786883511664,0.8974,0.9774425473145717
client_1_zigzag_tta_memo,client_1,zigzag,4,2000,2500,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.02275705337524414,0.01810561364982277,3.9988633394241333,0.5584756731987,0.0,0.1473308950662613,0.9772429466247559,0.01810561364982277,3.9988633394241333,0.5584756731987,0.0,0.6144690456672818,0.6158587733102193,0.7062132051856544,0.8057202787889658,0.0,0.5484522605904243,0.8539999723434448,0.8579999804496765,True,True,True,True,True,True,True,False,False,0.85,0.6,0.9792200000000002,0.8511671678779696,0.7739438378125201,0.8961,0.9772345473492734
client_1_zigzag_tta_memo,client_1,zigzag,4,2000,2500,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.02278691530227661,-0.601851042592898,3.998795807361603,0.5415213704109192,0.0,0.16218581795692444,0.9772130846977234,-0.601851042592898,3.998795807361603,0.5415213704109192,0.0,0.613963269113508,0.5194805934528725,0.6887062132051857,0.777886394567908,0.0,0.5200072940678948,0.8460000157356262,0.8479999899864197,True,True,True,True,True,True,True,False,False,0.85,0.6,0.9793000000000001,0.8115158620372536,0.7580701543239096,0.8965,0.9772039881485506
client_1_zigzag_tta_memo,client_1,zigzag,4,2000,2500,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.02259063720703125,-2.740360552445054,3.998787522315979,0.5421612858772278,0.0,0.17173483967781067,0.9774093627929688,-2.740360552445054,3.998787522315979,0.5421612858772278,0.0,0.6172876647054786,0.18702887752761435,0.6865584004202914,0.7789369439902843,0.0,0.4539623773287337,0.828000009059906,0.8360000252723694,True,True,True,True,True,False,False,False,False,0.85,0.6,0.9795200000000002,0.8505807794005152,0.7707063117709858,0.8976,0.9774007996382353
client_1_zigzag_tta_memo,client_1,zigzag,4,2000,2500,500,C1_C2_C4,"client_0,client_1,client_3",3,0.019512712955474854,-2.5145735377445817,3.9992482662200928,0.5583142638206482,0.0,0.13447856903076172,0.9804872870445251,-2.5145735377445817,3.9992482662200928,0.5583142638206482,0.0,0.6694189929696049,0.2221296241574495,0.8060015142852728,0.8054552929622338,0.0,0.5006010848749123,0.8560000061988831,0.8560000061988831,False,True,False,True,False,True,False,False,True,0.85,0.6,0.9793200000000002,0.8766572572501897,0.7855527593428582,0.8966,0.980478643018006
