tta_method,case,performing_length,tta_corruption,deployment_accuracy,data_shift_accuracy,initial_mixed_accuracy,protected_v2_mixed_accuracy,stmu_gala_mixed_accuracy,substitution_20_random_accuracy,substitution_50_random_accuracy,protected_v2_gain_vs_initial,stmu_gala_gain_vs_initial,sub20_gain_vs_initial,sub50_gain_vs_initial,sub20_source,sub50_source
tta_memo,perf_0_1_2_plus_3_on_zigzag,3,zigzag,1.0,0.8,0.9,0.91,0.9,0.87,0.89,0.010000000000000009,0.0,-0.030000000000000027,-0.010000000000000009,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tta_memo,perf_0_1_2_4_plus_3_on_zigzag,4,zigzag,1.0,0.8,0.9,0.91,0.92,0.86,0.89,0.010000000000000009,0.020000000000000018,-0.040000000000000036,-0.010000000000000009,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tta_memo,perf_1_2_plus_4_on_glass_blur,2,glass_blur,0.98,0.84,0.91,0.93,0.85,0.89,0.85,0.020000000000000018,-0.06000000000000005,-0.020000000000000018,-0.06000000000000005,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/fog/global/global_model.pt
tta_memo,perf_0_2_3_plus_4_on_glass_blur,3,glass_blur,1.0,0.86,0.93,0.94,0.92,0.9,0.86,0.009999999999999898,-0.010000000000000009,-0.030000000000000027,-0.07000000000000006,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tta_memo,perf_0_1_2_3_plus_4_on_glass_blur,4,glass_blur,1.0,0.86,0.93,0.94,0.92,0.9,0.86,0.009999999999999898,-0.010000000000000009,-0.030000000000000027,-0.07000000000000006,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tta_memo,perf_1_plus_4_on_stripe,1,stripe,0.98,0.84,0.91,0.94,0.92,0.94,0.99,0.029999999999999916,0.010000000000000009,0.029999999999999916,0.07999999999999996,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tta_memo,perf_3_plus_4_on_stripe,1,stripe,1.0,0.86,0.93,0.95,0.95,0.96,0.95,0.019999999999999907,0.019999999999999907,0.029999999999999916,0.019999999999999907,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/fog/global/global_model.pt
tta_memo,perf_1_2_plus_4_on_stripe,2,stripe,0.98,0.88,0.93,0.94,0.94,0.98,0.54,0.009999999999999898,0.009999999999999898,0.04999999999999993,-0.39,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/translate/global/global_model.pt
tta_memo,perf_1_3_plus_4_on_stripe,2,stripe,1.0,0.88,0.94,0.96,0.96,0.94,0.99,0.020000000000000018,0.020000000000000018,0.0,0.050000000000000044,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tta_memo,perf_0_3_plus_4_on_zigzag,2,zigzag,1.0,0.78,0.89,0.9,0.92,0.82,0.98,0.010000000000000009,0.030000000000000027,-0.07000000000000006,0.08999999999999997,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_stripe/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tta_memo,perf_1_3_plus_4_on_zigzag,2,zigzag,1.0,0.8,0.9,0.91,0.91,0.96,0.98,0.010000000000000009,0.010000000000000009,0.05999999999999994,0.07999999999999996,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tta_memo,perf_0_1_2_3_plus_4_on_zigzag,4,zigzag,1.0,0.8,0.9,0.91,0.91,0.88,0.84,0.010000000000000009,0.010000000000000009,-0.020000000000000018,-0.06000000000000005,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_translate/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
