adapted_case,adapted_client,corruption,chunk_id,chunk_start,chunk_end,chunk_size,composition_name,performing_clients,performing_size,raw_wdm,raw_ucs,raw_bnuas,raw_bndas,raw_pdam,wasserstein_distance,aligned_wdm,aligned_ucs,aligned_bnuas,aligned_bndas,aligned_pdam,scaled_wdm,scaled_ucs,scaled_bnuas,scaled_bndas,scaled_pdam,ttaas,composition_accuracy_on_chunk,aggregated_accuracy_on_chunk,ground_truth_composable,predicted_at_0_35,correct_at_0_35,predicted_at_0_4,correct_at_0_4,predicted_at_0_5,correct_at_0_5,predicted_at_0_6,correct_at_0_6
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C1_C3_C5,"client_0,client_2,client_4",3,0.03402888774871826,-1.018246479332447,3.9981887340545654,0.397701621055603,0.0,0.438225120306015,0.9659711122512817,-1.018246479332447,3.9981887340545654,0.397701621055603,0.0,0.42374786585242796,0.3401693577642618,0.5026592698054233,0.7337764183690115,0.0,0.40007058235822496,0.8220000267028809,0.8180000185966492,False,True,False,True,False,False,True,False,True
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C1_C4,"client_0,client_3",2,0.037908196449279785,-0.7300899371039122,3.998545825481415,0.39782047271728516,0.0,0.39745965600013733,0.9620918035507202,-0.7300899371039122,3.998545825481415,0.39782047271728516,0.0,0.3580746457214125,0.39412677117735956,0.6007004107549053,0.7340039831068917,0.0,0.41738116215211385,0.8339999914169312,0.828000009059906,False,True,False,True,False,False,True,False,True
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C1_C4_C5,"client_0,client_3,client_4",3,0.03309500217437744,-0.9403974488377571,3.9985342025756836,0.3845674693584442,0.0,0.4243614077568054,0.9669049978256226,-0.9403974488377571,3.9985342025756836,0.3845674693584442,0.0,0.4395577117901815,0.3547466159785814,0.5975092869883974,0.7086285176502413,0.0,0.4200884264814803,0.8259999752044678,0.828000009059906,True,True,True,True,True,False,False,False,False
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C1_C5,"client_0,client_4",2,0.03721684217453003,-1.4016284514218569,3.9983622431755066,0.3704220652580261,0.0,0.40452292561531067,0.96278315782547,-1.4016284514218569,3.9983622431755066,0.3704220652580261,0.0,0.36977865408444566,0.2683809492722179,0.5502970199813442,0.6815443765388551,0.0,0.3740001999753726,0.8040000200271606,0.8140000104904175,True,True,True,False,False,False,False,False,False
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C2,client_1,1,-1.0251998901367188e-05,-0.7908022496849298,4.0,0.4921383857727051,0.0,0.2305801510810852,1.0000102519989014,-0.7908022496849298,4.0,0.4921383857727051,0.0,1.0,0.3827583693917735,0.9999509057882076,0.914594063700555,0.0,0.6594606677761072,0.7919999957084656,0.7799999713897705,False,True,False,True,False,True,False,True,False
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C2_C3,"client_1,client_2",2,0.022884130477905273,1.5518821254372597,3.9984845519065857,0.4389471411705017,0.0,0.4117637276649475,0.9771158695220947,1.5518821254372597,3.9984845519065857,0.4389471411705017,0.0,0.6124186198573602,0.8214268387844323,0.5838774608473661,0.8127490287712419,0.0,0.5660943896520801,0.8059999942779541,0.8199999928474426,True,True,True,True,True,True,True,False,False
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C2_C3_C4,"client_1,client_2,client_3",3,0.02276545763015747,2.2808399945497513,3.998574137687683,0.42945945262908936,0.0,0.42049628496170044,0.9772345423698425,2.2808399945497513,3.998574137687683,0.42945945262908936,0.0,0.6144276448294095,0.9579244549768109,0.6084736609553734,0.7945829945277311,0.0,0.595081751057865,0.8240000009536743,0.8299999833106995,True,True,True,True,True,True,True,False,False
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C2_C3_C4_C5,"client_1,client_2,client_3,client_4",4,0.02267056703567505,1.9751355722546577,3.998562216758728,0.41450420022010803,0.0,0.4348045885562897,0.977329432964325,1.9751355722546577,3.998562216758728,0.41450420022010803,0.0,0.6160340575644684,0.9006811948779078,0.6052007135025447,0.7659482405308993,0.0,0.577572841295164,0.8199999928474426,0.8299999833106995,True,True,True,True,True,True,True,False,False
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C2_C3_C5,"client_1,client_2,client_4",3,0.022490859031677246,1.3265115469694138,3.9984657764434814,0.41669631004333496,0.0,0.4233456552028656,0.9775091409683228,1.3265115469694138,3.9984657764434814,0.41669631004333496,0.0,0.6190763530394702,0.7792261190662793,0.5787225686091609,0.7701454632728201,0.0,0.5494341007975461,0.8220000267028809,0.8259999752044678,True,True,True,True,True,True,True,False,False
client_1_zigzag_tta_bn,client_1,zigzag,13,6500,7000,500,C2_C4,"client_1,client_3",2,0.016258716583251953,2.2905580401420593,3.999138593673706,0.4388822019100189,0.0,0.354920357465744,0.983741283416748,2.2905580401420593,3.999138593673706,0.4388822019100189,0.0,0.7245809401954334,0.9597441624161638,0.7634477228468097,0.8126246898635585,0.0,0.6520795030643931,0.8320000171661377,0.8259999752044678,False,True,False,True,False,True,False,True,False
