technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
similarity_based,mean_minus_16pct,mean_minus_16pct,0.5945513801558803,13018,1842,53,587,0.8432903225806452,0.8760430686406461,0.9568540977581771,0.9146671350781662
mlaas_based,mean,mean,0.669877943328944,2214,4606,2364,6316,0.29535483870967744,0.324633431085044,0.25955451348182884,0.28846905537459283
mlaas_based,mean,mean_minus_5pct,0.669877943328944,3131,3689,1221,7459,0.2807741935483871,0.4590909090909091,0.2956562795089707,0.3596783457782884
mlaas_based,mean,mean_minus_10pct,0.669877943328944,4084,2736,524,8156,0.29729032258064514,0.5988269794721408,0.33366013071895423,0.4285414480587618
mlaas_based,mean,mean_minus_15pct,0.669877943328944,4934,1886,194,8486,0.33083870967741935,0.7234604105571848,0.3676602086438152,0.4875494071146245
mlaas_based,mean,mean_minus_16pct,0.669877943328944,5080,1740,155,8525,0.337741935483871,0.7448680351906158,0.37339213524439546,0.4974296205630355
mlaas_based,mean_minus_5pct,mean,0.669877943328944,7060,6600,370,1470,0.47935483870967743,0.5168374816983895,0.8276670574443142,0.6363226678684092
mlaas_based,mean_minus_5pct,mean_minus_5pct,0.669877943328944,8949,4711,199,1641,0.5901935483870968,0.6551244509516837,0.845042492917847,0.7380618556701031
mlaas_based,mean_minus_5pct,mean_minus_10pct,0.669877943328944,10477,3183,77,1763,0.6809032258064516,0.7669838945827233,0.8559640522875817,0.809034749034749
mlaas_based,mean_minus_5pct,mean_minus_15pct,0.669877943328944,11602,2058,22,1818,0.7499354838709678,0.8493411420204978,0.8645305514157973,0.8568685376661742
mlaas_based,mean_minus_5pct,mean_minus_16pct,0.669877943328944,11783,1877,18,1822,0.7613548387096775,0.8625915080527087,0.8660786475560456,0.8643315606088392
mlaas_based,mean_minus_10pct,mean,0.669877943328944,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_10pct,mean_minus_5pct,0.669877943328944,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_10pct,mean_minus_10pct,0.669877943328944,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_10pct,mean_minus_15pct,0.669877943328944,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_10pct,mean_minus_16pct,0.669877943328944,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
mlaas_based,mean_minus_15pct,mean,0.669877943328944,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_15pct,mean_minus_5pct,0.669877943328944,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_15pct,mean_minus_10pct,0.669877943328944,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_15pct,mean_minus_15pct,0.669877943328944,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_15pct,mean_minus_16pct,0.669877943328944,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
mlaas_based,mean_minus_16pct,mean,0.669877943328944,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
mlaas_based,mean_minus_16pct,mean_minus_5pct,0.669877943328944,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
mlaas_based,mean_minus_16pct,mean_minus_10pct,0.669877943328944,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
mlaas_based,mean_minus_16pct,mean_minus_15pct,0.669877943328944,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
mlaas_based,mean_minus_16pct,mean_minus_16pct,0.669877943328944,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
CATTM,mean,mean,0.5661370318316975,5043,2717,4253,3487,0.599741935483871,0.6498711340206186,0.5912075029308324,0.6191528545119704
CATTM,mean,mean_minus_5pct,0.5661370318316975,6089,1671,3239,4501,0.6018064516129032,0.7846649484536082,0.5749763928234183,0.6636512261580382
CATTM,mean,mean_minus_10pct,0.5661370318316975,6813,947,2313,5427,0.5887741935483871,0.8779639175257732,0.5566176470588236,0.6813
CATTM,mean,mean_minus_15pct,0.5661370318316975,7244,516,1564,6176,0.568258064516129,0.9335051546391753,0.5397913561847988,0.6840415486307837
CATTM,mean,mean_minus_16pct,0.5661370318316975,7305,455,1440,6300,0.5641935483870968,0.9413659793814433,0.5369349503858876,0.6838286917856308
CATTM,mean_minus_5pct,mean,0.5661370318316975,5937,3083,3887,2593,0.6338064516129033,0.6582039911308204,0.6960140679953106,0.6765811965811965
CATTM,mean_minus_5pct,mean_minus_5pct,0.5661370318316975,7147,1873,3037,3443,0.6570322580645162,0.792350332594235,0.6748819641170916,0.7289138194798572
CATTM,mean_minus_5pct,mean_minus_10pct,0.5661370318316975,7989,1031,2229,4251,0.6592258064516129,0.8856984478935699,0.6526960784313726,0.751552210724365
CATTM,mean_minus_5pct,mean_minus_15pct,0.5661370318316975,8468,552,1528,4952,0.6449032258064517,0.9388026607538803,0.6309985096870343,0.7547237076648841
CATTM,mean_minus_5pct,mean_minus_16pct,0.5661370318316975,8532,488,1407,5073,0.6412258064516129,0.9458980044345898,0.627122381477398,0.7542099447513811
CATTM,mean_minus_10pct,mean,0.5661370318316975,6865,3695,3275,1665,0.6541935483870968,0.650094696969697,0.8048065650644783,0.7192247249869043
CATTM,mean_minus_10pct,mean_minus_5pct,0.5661370318316975,8310,2250,2660,2280,0.707741935483871,0.7869318181818182,0.7847025495750708,0.7858156028368795
CATTM,mean_minus_10pct,mean_minus_10pct,0.5661370318316975,9339,1221,2039,2901,0.7340645161290322,0.884375,0.7629901960784313,0.8192105263157894
CATTM,mean_minus_10pct,mean_minus_15pct,0.5661370318316975,9919,641,1439,3501,0.7327741935483871,0.9392992424242425,0.7391207153502235,0.8272727272727273
CATTM,mean_minus_10pct,mean_minus_16pct,0.5661370318316975,10006,554,1341,3599,0.7320645161290322,0.9475378787878788,0.7354649026093348,0.8281398717152907
CATTM,mean_minus_15pct,mean,0.5661370318316975,7566,4274,2696,964,0.6620645161290323,0.6390202702702703,0.8869871043376318,0.7428571428571429
CATTM,mean_minus_15pct,mean_minus_5pct,0.5661370318316975,9238,2602,2308,1352,0.7449032258064516,0.7802364864864865,0.8723323890462701,0.8237182345073563
CATTM,mean_minus_15pct,mean_minus_10pct,0.5661370318316975,10439,1401,1859,1801,0.7934193548387096,0.8816722972972973,0.852859477124183,0.8670265780730897
CATTM,mean_minus_15pct,mean_minus_15pct,0.5661370318316975,11121,719,1361,2299,0.8052903225806451,0.9392736486486486,0.828688524590164,0.8805225653206651
CATTM,mean_minus_15pct,mean_minus_16pct,0.5661370318316975,11223,617,1278,2382,0.8065161290322581,0.9478885135135136,0.8249173098125689,0.8821379445863627
CATTM,mean_minus_16pct,mean,0.5661370318316975,7691,4349,2621,839,0.6652903225806451,0.6387873754152824,0.901641266119578,0.7477880408361691
