corruption,mean_accuracy,scale,threshold,precision,recall,accuracy,f1
gaussian_blur,0.4029865506329114,1.4,0.5641811708860759,0.08695652173913043,0.25,0.6582278481012658,0.12903225806451613
gaussian_blur,0.4029865506329114,1.5,0.6044798259493671,0.0625,0.125,0.7215189873417721,0.08333333333333333
gaussian_noise,0.2281447784810126,0.5,0.1140723892405063,0.9746835443037974,1.0,0.9746835443037974,0.9871794871794872
gaussian_noise,0.2281447784810126,0.6,0.13688686708860756,0.9746835443037974,1.0,0.9746835443037974,0.9871794871794872
gaussian_noise,0.2281447784810126,0.7,0.15970134493670882,0.9743589743589743,0.987012987012987,0.9620253164556962,0.9806451612903225
gaussian_noise,0.2281447784810126,0.8,0.1825158227848101,0.9743589743589743,0.987012987012987,0.9620253164556962,0.9806451612903225
gaussian_noise,0.2281447784810126,0.9,0.20533030063291136,0.9743589743589743,0.987012987012987,0.9620253164556962,0.9806451612903225
gaussian_noise,0.2281447784810126,1.0,0.2281447784810126,0.9743589743589743,0.987012987012987,0.9620253164556962,0.9806451612903225
gaussian_noise,0.2281447784810126,1.1,0.25095925632911387,0.974025974025974,0.974025974025974,0.9493670886075949,0.974025974025974
gaussian_noise,0.2281447784810126,1.2,0.2737737341772151,0.9736842105263158,0.961038961038961,0.9367088607594937,0.9673202614379085
gaussian_noise,0.2281447784810126,1.3,0.2965882120253164,0.9722222222222222,0.9090909090909091,0.8860759493670886,0.9395973154362416
gaussian_noise,0.2281447784810126,1.4,0.31940268987341763,0.971830985915493,0.8961038961038961,0.8734177215189873,0.9324324324324325
gaussian_noise,0.2281447784810126,1.5,0.3422171677215189,0.9705882352941176,0.8571428571428571,0.8354430379746836,0.9103448275862068
glass_blur,0.1594145569620253,0.5,0.07970727848101265,1.0,1.0,1.0,1.0
glass_blur,0.1594145569620253,0.6,0.09564873417721519,1.0,0.9873417721518988,0.9873417721518988,0.9936305732484078
glass_blur,0.1594145569620253,0.7,0.1115901898734177,1.0,0.9873417721518988,0.9873417721518988,0.9936305732484078
glass_blur,0.1594145569620253,0.8,0.12753164556962024,1.0,0.9873417721518988,0.9873417721518988,0.9936305732484078
glass_blur,0.1594145569620253,0.9,0.14347310126582277,1.0,0.9873417721518988,0.9873417721518988,0.9936305732484078
glass_blur,0.1594145569620253,1.0,0.1594145569620253,1.0,0.9873417721518988,0.9873417721518988,0.9936305732484078
glass_blur,0.1594145569620253,1.1,0.17535601265822784,1.0,0.9493670886075949,0.9493670886075949,0.974025974025974
glass_blur,0.1594145569620253,1.2,0.19129746835443037,1.0,0.9493670886075949,0.9493670886075949,0.974025974025974
glass_blur,0.1594145569620253,1.3,0.2072389240506329,1.0,0.9493670886075949,0.9493670886075949,0.974025974025974
glass_blur,0.1594145569620253,1.4,0.2231803797468354,1.0,0.9367088607594937,0.9367088607594937,0.9673202614379084
glass_blur,0.1594145569620253,1.5,0.23912183544303794,1.0,0.9113924050632911,0.9113924050632911,0.9536423841059603
impulse_noise,0.2115308544303797,0.5,0.10576542721518985,0.9873417721518988,1.0,0.9873417721518988,0.9936305732484078
impulse_noise,0.2115308544303797,0.6,0.12691851265822782,0.9873417721518988,1.0,0.9873417721518988,0.9936305732484078
impulse_noise,0.2115308544303797,0.7,0.14807159810126577,0.9873417721518988,1.0,0.9873417721518988,0.9936305732484078
impulse_noise,0.2115308544303797,0.8,0.16922468354430376,0.9873417721518988,1.0,0.9873417721518988,0.9936305732484078
impulse_noise,0.2115308544303797,0.9,0.19037776898734174,0.9871794871794872,0.9871794871794872,0.9746835443037974,0.9871794871794872
impulse_noise,0.2115308544303797,1.0,0.2115308544303797,0.9871794871794872,0.9871794871794872,0.9746835443037974,0.9871794871794872
impulse_noise,0.2115308544303797,1.1,0.23268393987341768,0.987012987012987,0.9743589743589743,0.9620253164556962,0.9806451612903225
impulse_noise,0.2115308544303797,1.2,0.25383702531645563,0.987012987012987,0.9743589743589743,0.9620253164556962,0.9806451612903225
impulse_noise,0.2115308544303797,1.3,0.2749901107594936,0.987012987012987,0.9743589743589743,0.9620253164556962,0.9806451612903225
impulse_noise,0.2115308544303797,1.4,0.29614319620253154,0.9863013698630136,0.9230769230769231,0.9113924050632911,0.9536423841059603
impulse_noise,0.2115308544303797,1.5,0.31729628164556956,0.9859154929577465,0.8974358974358975,0.8860759493670886,0.9395973154362417
jpeg_compression,0.3502768987341772,0.5,0.1751384493670886,0.4430379746835443,1.0,0.4430379746835443,0.6140350877192983
