profile_id,composition_name,combination_size,corruption_category,before_accuracy,before_reliability_score,before_latency_seconds,after_corruption_accuracy,after_corruption_latency_seconds,accuracy_drop,weights_file
size2_C2_C3,C2_C3,2,translate,0.9883,0.9833949896476499,5.683763499999998,0.56,0.038743041000000034,0.4282999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C2_C3.pt
size3_C2_C3_C4,C2_C3_C4,3,translate,0.9893,0.9817017518131382,6.623418874999999,0.56,0.040388791999999896,0.4292999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C2_C3_C4.pt
size3_C2_C3_C5,C2_C3_C5,3,translate,0.9889,0.9834778888552207,5.798206250000007,0.6,0.0391231670000014,0.3889,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C2_C3_C5.pt
size2_C2_C4,C2_C4,2,translate,0.9888,0.9817017518131382,4.665962124999993,0.57,0.03902595899999994,0.41880000000000006,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C2_C4.pt
size3_C2_C4_C5,C2_C4_C5,3,translate,0.9896,0.9816217113754138,4.693135417000008,0.59,0.03864904099999933,0.39960000000000007,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C2_C4_C5.pt
size2_C2_C5,C2_C5,2,translate,0.9882,0.9834778888552207,4.851030917000003,0.57,0.03862841699999997,0.4182,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C2_C5.pt
size1_C3,C3,1,translate,0.9872,0.9744737928719452,4.886818666000011,0.58,0.03841408399999935,0.4072,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C3.pt
size2_C3_C4,C3_C4,2,translate,0.9871,0.9744737928719452,4.5866827090000015,0.57,0.039171833000001044,0.4171,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C3_C4.pt
size3_C3_C4_C5,C3_C4_C5,3,translate,0.9897,0.9793654020996376,5.230787415999998,0.56,0.03896550000000154,0.42969999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C3_C4_C5.pt
size2_C3_C5,C3_C5,2,translate,0.9886,0.9816217113754138,4.743461209000003,0.61,0.038602874999998704,0.37860000000000005,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C3_C5.pt
size1_C4,C4,1,translate,0.9779,0.9785537725715294,4.699641791000005,0.56,0.038941917000000714,0.41789999999999994,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C4.pt
size2_C4_C5,C4_C5,2,translate,0.989,0.979575279530255,5.178632582999995,0.56,0.03833179099999917,0.42899999999999994,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C4_C5.pt
size1_C5,C5,1,translate,0.9868,0.9834778888552207,7.331302749999992,0.59,0.03979224999999964,0.39680000000000004,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C5.pt
size4_C1_C2_C4_C5,C1_C2_C4_C5,4,translate,0.9906,0.9834778888552207,5.123578625,0.61,0.038766959000000156,0.38060000000000005,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size4_C1_C2_C4_C5.pt
