tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,initial_mixed_accuracy,protected_v2_mixed_accuracy,protected_v2_gain_vs_initial_mixed,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight
tent,perf_4_plus_1_on_stripe,client_4,1,client_1,stripe,50,50,0.91,0.92,0.010000000000000009,4.552402718002308e-05,0.012291341588076593,0.012336865615256617
tent,perf_0_4_plus_1_on_stripe,"client_0,client_4",2,client_1,stripe,50,50,0.92,0.93,0.010000000000000009,0.00018734779659409378,0.019320206679463443,0.019507554476057537
tent,perf_2_4_plus_1_on_stripe,"client_2,client_4",2,client_1,stripe,50,50,0.93,0.94,0.009999999999999898,0.00015755070432988227,0.026044424395445864,0.026201975099775746
tent,perf_0_4_plus_1_on_zigzag,"client_0,client_4",2,client_1,zigzag,50,50,0.91,0.92,0.010000000000000009,0.00018734779659409378,0.028868501189625473,0.029055848986219567
tent,perf_1_plus_2_on_brightness,client_1,1,client_2,brightness,50,50,0.64,0.67,0.030000000000000027,2.37976303668143e-05,0.037079325922164695,0.03710312355253151
tent,perf_4_plus_2_on_brightness,client_4,1,client_2,brightness,50,50,0.66,0.68,0.020000000000000018,1.7546562480111453e-05,0.016347288345410712,0.016364834907890823
tent,perf_0_1_plus_2_on_brightness,"client_0,client_1",2,client_2,brightness,50,50,0.64,0.66,0.020000000000000018,7.63553009279341e-05,0.039746647938619095,0.03982300323954703
tent,perf_0_4_plus_2_on_brightness,"client_0,client_4",2,client_2,brightness,50,50,0.64,0.66,0.020000000000000018,6.879993014095684e-05,0.024883711400171652,0.024952511330312607
tent,perf_1_3_plus_2_on_brightness,"client_1,client_3",2,client_2,brightness,50,50,0.62,0.64,0.020000000000000018,7.32836257623124e-05,0.046860556776080434,0.046933840401842744
tent,perf_1_4_plus_2_on_brightness,"client_1,client_4",2,client_2,brightness,50,50,0.66,0.68,0.020000000000000018,6.958817105396735e-05,0.03807114677240925,0.03814073494346321
tent,perf_0_1_3_plus_2_on_brightness,"client_0,client_1,client_3",3,client_2,brightness,50,50,0.62,0.64,0.020000000000000018,0.00011789187978229591,0.04473152725794269,0.044849419137724986
