tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,tta_local_before,tta_local_after,initial_mixed_accuracy,initial_shift_accuracy,fedavg_mixed_accuracy,fedavg_shift_accuracy,protected_v2_mixed_accuracy,protected_v2_shift_accuracy,protected_v2_gain_vs_initial_mixed,protected_v2_gain_vs_fedavg_mixed,protected_v2_gain_vs_initial_shift,protected_v2_gain_vs_fedavg_shift,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight,artifact_dir
tent,perf_1_2_plus_0_on_zigzag,"client_1,client_2",2,client_0,zigzag,50,50,0.8229,0.8527,0.91,0.82,0.91,0.82,0.9,0.8,-0.010000000000000009,-0.010000000000000009,-0.019999999999999907,-0.019999999999999907,0.00013167685145582228,0.03746988703293044,0.03760156388438626,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_1_3_plus_0_on_zigzag,"client_1,client_3",2,client_0,zigzag,50,50,0.8229,0.8527,0.91,0.82,0.91,0.82,0.91,0.82,0.0,0.0,0.0,0.0,0.0001433463583450982,0.05018304684406741,0.05032639320241251,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_1_4_plus_0_on_zigzag,"client_1,client_4",2,client_0,zigzag,50,50,0.8229,0.8527,0.91,0.84,0.92,0.84,0.91,0.84,0.0,-0.010000000000000009,0.0,0.0,0.00014955963193031698,0.05638782456046056,0.05653738419239088,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_2_3_plus_0_on_zigzag,"client_2,client_3",2,client_0,zigzag,50,50,0.8229,0.8527,0.9,0.8,0.9,0.8,0.91,0.82,0.010000000000000009,0.010000000000000009,0.019999999999999907,0.019999999999999907,0.0001126535541699376,0.0418597618380125,0.04197241539218244,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_2_4_plus_0_on_zigzag,"client_2,client_4",2,client_0,zigzag,50,50,0.8229,0.8527,0.9,0.8,0.91,0.82,0.88,0.76,-0.020000000000000018,-0.030000000000000027,-0.040000000000000036,-0.05999999999999994,0.0001247931020937434,0.05007619566048111,0.05020098876257485,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_3_4_plus_0_on_zigzag,"client_3,client_4",2,client_0,zigzag,50,50,0.8229,0.8527,0.89,0.78,0.91,0.82,0.89,0.78,0.0,-0.020000000000000018,0.0,-0.039999999999999925,0.00013586094995780718,0.05016127521864237,0.05029713616860018,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_1_2_3_plus_0_on_zigzag,"client_1,client_2,client_3",3,client_0,zigzag,50,50,0.8229,0.8527,0.9,0.8,0.91,0.82,0.9,0.8,0.0,-0.010000000000000009,0.0,-0.019999999999999907,0.00022076163686378324,0.04852941536133508,0.04875017699819886,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_1_2_4_plus_0_on_zigzag,"client_1,client_2,client_4",3,client_0,zigzag,50,50,0.8229,0.8527,0.91,0.82,0.91,0.82,0.91,0.82,0.0,0.0,0.0,0.0,0.00023041729139906518,0.05492558212168897,0.05515599941308804,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_1_3_4_plus_0_on_zigzag,"client_1,client_3,client_4",3,client_0,zigzag,50,50,0.8229,0.8527,0.91,0.82,0.91,0.82,0.91,0.82,0.0,0.0,0.0,0.0,0.000237939988303369,0.061151066882912886,0.061389006871216255,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_2_3_4_plus_0_on_zigzag,"client_2,client_3,client_4",3,client_0,zigzag,50,50,0.8229,0.8527,0.9,0.8,0.91,0.82,0.9,0.8,0.0,-0.010000000000000009,0.0,-0.019999999999999907,0.00021723723744227155,0.05482447125373589,0.05504170849117816,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_1_2_3_4_plus_0_on_zigzag,"client_1,client_2,client_3,client_4",4,client_0,zigzag,50,50,0.8229,0.8527,0.9,0.8,0.91,0.82,0.9,0.8,0.0,-0.010000000000000009,0.0,-0.019999999999999907,0.0003001200739096516,0.05894750394010177,0.05924762401401142,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_zigzag
tent,perf_0_plus_1_on_brightness,client_0,1,client_1,brightness,50,50,0.3328,0.9813,0.66,0.34,0.6,0.22,0.62,0.24,-0.040000000000000036,0.020000000000000018,-0.10000000000000003,0.01999999999999999,4.55042347391282e-05,0.026647645169640403,0.026693149404379533,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_1_brightness
tent,perf_2_plus_1_on_brightness,client_2,1,client_1,brightness,50,50,0.3328,0.9813,0.64,0.28,0.61,0.24,0.62,0.24,-0.020000000000000018,0.010000000000000009,-0.040000000000000036,0.0,2.37976303668143e-05,0.03877213874345146,0.03879593637381827,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_1_brightness
tent,perf_3_plus_1_on_brightness,client_3,1,client_1,brightness,50,50,0.3328,0.9813,0.63,0.26,0.59,0.18,0.56,0.12,-0.06999999999999995,-0.029999999999999916,-0.14,-0.06,3.5808911043040873e-05,0.0230311743203932,0.02306698323143624,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_1_brightness
tent,perf_4_plus_1_on_brightness,client_4,1,client_1,brightness,50,50,0.3328,0.9813,0.68,0.38,0.66,0.34,0.68,0.36,0.0,0.020000000000000018,-0.020000000000000018,0.019999999999999962,4.552402718002308e-05,0.01825610986047848,0.018301633887658503,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_1_brightness
tent,perf_0_2_plus_1_on_brightness,"client_0,client_2",2,client_1,brightness,50,50,0.3328,0.9813,0.64,0.28,0.62,0.26,0.62,0.24,-0.020000000000000018,0.0,-0.040000000000000036,-0.020000000000000018,0.00014978484269922965,0.04966987789325706,0.04981966273595629,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_1_brightness
tent,perf_0_3_plus_1_on_brightness,"client_0,client_3",2,client_1,brightness,50,50,0.3328,0.9813,0.64,0.28,0.59,0.2,0.6,0.2,-0.040000000000000036,0.010000000000000009,-0.08000000000000002,0.0,0.00017227759357919605,0.03486681046186565,0.035039088055444846,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_1_brightness
tent,perf_0_4_plus_1_on_brightness,"client_0,client_4",2,client_1,brightness,50,50,0.3328,0.9813,0.66,0.34,0.64,0.3,0.66,0.32,0.0,0.020000000000000018,-0.020000000000000018,0.020000000000000018,0.00018734779659409378,0.02989054358904245,0.030077891385636542,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_1_brightness
tent,perf_2_3_plus_1_on_brightness,"client_2,client_3",2,client_1,brightness,50,50,0.3328,0.9813,0.62,0.24,0.61,0.22,0.59,0.18,-0.030000000000000027,-0.020000000000000018,-0.06,-0.04000000000000001,0.00013817290664125458,0.04284706117267839,0.042985234079319645,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_1_brightness
