profile_id,composition_name,combination_size,corruption_category,before_accuracy,before_reliability_score,before_latency_seconds,after_corruption_accuracy,after_corruption_latency_seconds,accuracy_drop,weights_file
size3_C2_C3_C4,C2_C3_C4,3,fog,0.9893,0.981701752,4.270036708,0.1828,4.56091333300003,0.8065,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C4.pt
size3_C2_C3_C4,C2_C3_C4,3,translate,0.9893,0.981701752,4.270036708,0.5481,3.69199500000002,0.4411999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C4.pt
size3_C2_C3_C4,C2_C3_C4,3,stripe,0.9893,0.981701752,4.270036708,0.9079,4.006150624999918,0.08139999999999992,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C4.pt
size3_C2_C3_C4,C2_C3_C4,3,zigzag,0.9893,0.981701752,4.270036708,0.861,4.082453458000032,0.12829999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C4.pt
size3_C2_C3_C4,C2_C3_C4,3,spatter,0.9893,0.981701752,4.270036708,0.9771,4.0892981250000275,0.012199999999999989,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C4.pt
size3_C2_C3_C5,C2_C3_C5,3,fog,0.9889,0.983477889,4.161903792,0.1671,4.960132958000031,0.8218,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C5.pt
size3_C2_C3_C5,C2_C3_C5,3,translate,0.9889,0.983477889,4.161903792,0.5528,3.9656999170000518,0.43610000000000004,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C5.pt
size3_C2_C3_C5,C2_C3_C5,3,stripe,0.9889,0.983477889,4.161903792,0.8921,4.402629542,0.0968,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C5.pt
size3_C2_C3_C5,C2_C3_C5,3,zigzag,0.9889,0.983477889,4.161903792,0.8469,3.948438334000002,0.14200000000000002,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C5.pt
size3_C2_C3_C5,C2_C3_C5,3,spatter,0.9889,0.983477889,4.161903792,0.9769,4.255801874999975,0.01200000000000001,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C5.pt
size2_C2_C4,C2_C4,2,fog,0.9888,0.981701752,4.214267458,0.172,3.763670042000058,0.8168,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C4.pt
size2_C2_C4,C2_C4,2,translate,0.9888,0.981701752,4.214267458,0.5389,3.77516983299995,0.44989999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C4.pt
size2_C2_C4,C2_C4,2,stripe,0.9888,0.981701752,4.214267458,0.9198,3.9032929999999624,0.06900000000000006,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C4.pt
size2_C2_C4,C2_C4,2,zigzag,0.9888,0.981701752,4.214267458,0.8618,3.868319499999984,0.127,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C4.pt
size2_C2_C4,C2_C4,2,spatter,0.9888,0.981701752,4.214267458,0.9745,3.9059262920000037,0.01429999999999998,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C4.pt
size3_C2_C4_C5,C2_C4_C5,3,fog,0.9896,0.981621711,4.136977375,0.1641,3.7982167910000726,0.8255,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C4_C5.pt
size3_C2_C4_C5,C2_C4_C5,3,translate,0.9896,0.981621711,4.136977375,0.5532,3.6938778329999877,0.4364,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C4_C5.pt
size3_C2_C4_C5,C2_C4_C5,3,stripe,0.9896,0.981621711,4.136977375,0.9143,3.779408083000021,0.07530000000000003,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C4_C5.pt
size3_C2_C4_C5,C2_C4_C5,3,zigzag,0.9896,0.981621711,4.136977375,0.8566,3.9238507499999287,0.133,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C4_C5.pt
size3_C2_C4_C5,C2_C4_C5,3,spatter,0.9896,0.981621711,4.136977375,0.9779,3.8959091670000134,0.011700000000000044,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C4_C5.pt
size2_C2_C5,C2_C5,2,fog,0.9882,0.983477889,4.176683416,0.1567,3.7866167919999043,0.8314999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C5.pt
size2_C2_C5,C2_C5,2,translate,0.9882,0.983477889,4.176683416,0.5367,4.573644749999971,0.4515,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C5.pt
size2_C2_C5,C2_C5,2,stripe,0.9882,0.983477889,4.176683416,0.8856,3.8244070419999616,0.10259999999999991,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C5.pt
size2_C2_C5,C2_C5,2,zigzag,0.9882,0.983477889,4.176683416,0.8292,3.851915125000005,0.15899999999999992,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C5.pt
size2_C2_C5,C2_C5,2,spatter,0.9882,0.983477889,4.176683416,0.9721,3.9654003749999447,0.016100000000000003,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C5.pt
size1_C3,C3,1,fog,0.9872,0.974473793,4.291117291,0.1735,3.70999237500007,0.8137,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C3.pt
size1_C3,C3,1,translate,0.9872,0.974473793,4.291117291,0.5407,3.769122624999909,0.4465,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C3.pt
size1_C3,C3,1,stripe,0.9872,0.974473793,4.291117291,0.8506,3.7556189580000137,0.13659999999999994,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C3.pt
