technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
semantic_based,mean,mean_minus_16pct,0.8850516645161489,7537,463,1432,6068,0.5786451612903226,0.942125,0.5539875045938993,0.697708863688961
semantic_based,mean_minus_5pct,mean,0.8850516645161489,7317,3443,3527,1213,0.6996129032258065,0.6800185873605948,0.8577960140679953,0.7586314152410577
semantic_based,mean_minus_5pct,mean_minus_5pct,0.8850516645161489,8765,1995,2915,1825,0.7535483870967742,0.8145910780669146,0.82766761095373,0.8210772833723654
semantic_based,mean_minus_5pct,mean_minus_10pct,0.8850516645161489,9710,1050,2210,2530,0.7690322580645161,0.9024163568773235,0.7933006535947712,0.8443478260869565
semantic_based,mean_minus_5pct,mean_minus_15pct,0.8850516645161489,10212,548,1532,3208,0.7576774193548387,0.9490706319702602,0.7609538002980626,0.8446650124069479
semantic_based,mean_minus_5pct,mean_minus_16pct,0.8850516645161489,10281,479,1416,3324,0.7546451612903226,0.9554832713754647,0.7556780595369349,0.8439154524933306
semantic_based,mean_minus_10pct,mean,0.8850516645161489,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
semantic_based,mean_minus_10pct,mean_minus_5pct,0.8850516645161489,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
semantic_based,mean_minus_10pct,mean_minus_10pct,0.8850516645161489,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
semantic_based,mean_minus_10pct,mean_minus_15pct,0.8850516645161489,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
semantic_based,mean_minus_10pct,mean_minus_16pct,0.8850516645161489,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
semantic_based,mean_minus_15pct,mean,0.8850516645161489,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
semantic_based,mean_minus_15pct,mean_minus_5pct,0.8850516645161489,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
semantic_based,mean_minus_15pct,mean_minus_10pct,0.8850516645161489,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
