adapted_case,composition_name,prediction_distribution_similarity,weight_cosine_similarity,quality_gap,reliability_gap,latency_similarity,entropy_gap,rule_score,rule_composable,inference_score,inference_composable,semantic_score,semantic_composable,similarity_score,similarity_composable,mlaas_score,mlaas_composable
client_0_impulse_noise,C1_C2,0.6738,0.9959944994014567,0.16855615754244888,0.8584712513353507,0.5021928457183052,0.05079728943228157,0.45833333333333326,False,0.2,False,0.93476,True,0.5932938898885488,False,0.7019258085670337,False
client_0_impulse_noise,C1_C2_C3,0.653,0.9948485009858318,0.14742059787786782,0.8445334803170675,0.3355048203312826,0.07845808425880996,0.3833333333333333,False,0.1,False,0.9306000000000001,True,0.5589938011163905,False,0.6698198928412488,False
client_0_impulse_noise,C1_C2_C3_C4,0.6042000000000001,0.9942269793839296,0.1472855576837157,0.8332743586421533,0.24867834589602741,0.08050622754834835,0.3833333333333333,False,0.1,False,0.9208400000000001,True,0.5281539977132897,False,0.6437232138401391,False
client_0_impulse_noise,C1_C2_C3_C4_C5,0.587,0.9938718458882084,0.1419457964136263,0.8258554519480711,0.20326301577001402,0.08489773562247105,0.3833333333333333,False,0.1,False,0.9174,True,0.5097327567679695,False,0.6329389640392182,False
client_0_impulse_noise,C1_C2_C3_C5,0.6166,0.9942499166887033,0.13994288107662295,0.8185841112922904,0.2481424785643479,0.08565650728551433,0.3833333333333333,False,0.1,False,0.9233200000000001,True,0.5361389356291445,False,0.6490381878911629,False
client_0_impulse_noise,C1_C2_C4,0.6013,0.994766683628902,0.1628916697799352,0.8527870200359019,0.3338117927754236,0.06428139721303883,0.3833333333333333,False,0.1,False,0.9202600000000001,True,0.5444455067760195,False,0.6552053555063941,False
client_0_impulse_noise,C1_C2_C4_C5,0.5792999999999999,0.9941825851965393,0.15099651707979012,0.8314097495362407,0.25209526484116007,0.07946901941072304,0.3833333333333333,False,0.1,False,0.9158600000000001,True,0.5246421065462341,False,0.6388619878230639,False
client_0_impulse_noise,C1_C2_C5,0.6236,0.9947993738738845,0.15009302433990754,0.8301061659824032,0.33513594352063475,0.07959871987342615,0.3833333333333333,False,0.1,False,0.9247200000000002,True,0.5581574435835831,False,0.6647645381977882,False
client_0_impulse_noise,C1_C3,0.6953,0.9961630114777099,0.15703770434740488,0.8530039126423357,0.5063603478229826,0.06495171701782987,0.45833333333333326,False,0.2,False,0.93906,True,0.5972594452488207,False,0.7099434359115301,False
client_0_impulse_noise,C1_C3_C4,0.6091,0.9948951674577996,0.15203860319095056,0.8484853761194593,0.3328175179901486,0.07624904808079713,0.3833333333333333,False,0.1,False,0.9218200000000001,True,0.5478678170767994,False,0.6591929750245598,False
